title,text
The fellowship of the ring,"In the Second Age of Middle-earth, the lords of Elves, Dwarves, and Men are given Rings of Power. Unbeknownst to them, the Dark Lord Sauron forges the One Ring in Mount Doom, instilling into it a great part of his power, to dominate the other Rings and conquer Middle-earth. A final alliance of Men and Elves battles Sauron's forces in Mordor. Isildur of Gondor severs Sauron's finger and the Ring with it, thereby vanquishing Sauron and returning him to spirit form. With Sauron's first defeat, the Third Age of Middle-earth begins. Sixty years later, Bilbo celebrates his 111th birthday in the Shire, reuniting with his old friend, the wizard Gandalf the Grey. Bilbo departs the Shire for one last adventure, and he leaves his inheritance, including the Ring, to his nephew Frodo. Gandalf investigates the Ring, discovers its true nature, and learns that Gollum was captured and brutally tortured by Sauron's Orcs, revealing two words during his interrogation: ""Shire"" and ""Baggins."" Gandalf returns and warns Frodo to leave the Shire. Frodo and Sam are joined by fellow hobbits Merry and Pippin, and they evade the Nazgûl before arriving in Bree, where they are meant to meet Gandalf at the Inn of The Prancing Pony. However, Gandalf never arrives, having been taken prisoner by Saruman. Learning of Saruman's betrayal from Gandalf and now realizing that they are facing threats from both Sauron and Saruman, Arwen's father, Lord Elrond, decides against keeping the Ring in Rivendell. He holds a council of Elves, Men, and Dwarves, also attended by Frodo and Gandalf, that decides the Ring must be destroyed in the fires of Mount Doom. Frodo volunteers to take the Ring, accompanied by Gandalf, Sam, Merry, Pippin, Elf Legolas, Dwarf Gimli, Boromir of Gondor, and Strider—who is actually Aragorn, Isildur's heir and the rightful King of Gondor. The Fellowship travels by river to Parth Galen. Frodo wanders off and is confronted by Boromir, who, as Lady Galadriel had warned, tries to take the Ring. Uruk-hai scouts then ambush the Fellowship, attempting to abduct the Hobbits."
Mona Lisa (Description),"The Mona Lisa bears a strong resemblance to many Renaissance depictions of the Virgin Mary, who was at that time seen as an ideal for womanhood. The woman sits markedly upright in a ""pozzetto"" armchair with her arms folded, a sign of her reserved posture. Her gaze is fixed on the observer. The woman appears alive to an unusual extent, which Leonardo achieved by his method of not drawing outlines (sfumato). The soft blending creates an ambiguous mood ""mainly in two features: the corners of the mouth, and the corners of the eyes"". The depiction of the sitter in three-quarter profile is similar to late 15th-century works by Lorenzo di Credi and Agnolo di Domenico del Mazziere. Zöllner notes that the sitter's general position can be traced back to Flemish models and that ""in particular the vertical slices of columns at both sides of the panel had precedents in Flemish portraiture."" Woods-Marsden cites Hans Memling's portrait of Benedetto Portinari (1487) or Italian imitations such as Sebastiano Mainardi's pendant portraits for the use of a loggia, which has the effect of mediating between the sitter and the distant landscape, a feature missing from Leonardo's earlier portrait of Ginevra de' Benci. The painting was one of the first Italian portraits to depict the sitter in front of an imaginary landscape, and Leonardo was one of the first painters to use aerial perspective. The enigmatic woman is portrayed seated in what appears to be an open loggia with dark pillar bases on either side. Behind her, a vast landscape recedes to icy mountains, winding paths and a distant bridge, giving only the slightest indications of human presence. Leonardo has chosen to place the horizon line not at the neck, as he did with Ginevra de' Benci, but on a level with the eyes, thus linking the figure with the landscape and emphasizing the mysterious nature of the painting. The bridge in the background was identified by Silvano Vincenti as the four-arched Romito di Laterina bridge from Etruscan-Roman times near Laterina, Arezzo over the Arno river."
Sweeney Todd (plot),"In 1846, Benjamin Barker, a barber, arrives in London, accompanied by the young sailor Anthony Hope. Fifteen years earlier, he was falsely convicted and exiled to Australia by the corrupt Judge Turpin, who lusted after Barker's wife Lucy. Barker adopts the alias ""Sweeney Todd"" and returns to his old Fleet Street shop, situated above Nellie Lovett's meat pie shop. Recognizing Barker, Lovett tells him that once he was exiled, Turpin raped Lucy and drove her to suicide before adopting the couple's daughter, Johanna, as his ward. Todd vows revenge and re-opens his barbershop after Mrs. Lovett, who loves him unrequitedly, presents him with his old straight razors. Wandering the streets where he encounters a beggar woman, Anthony becomes enamored with Johanna after seeing her sing by a window above the street, but is caught by Turpin and driven away by his henchman, Beadle Bamford. Rival barber and snake oil salesman Adolfo Pirelli is publicly humiliated by Todd in front of Bamford, but recognizes Todd by his razors and reveals himself as his former apprentice. He attempts to blackmail Todd, who flies into a rage and kills him. Lovett is shocked but accepts Todd's justifications, having grown emotionally attached to Pirelli's downtrodden assistant Toby Ragg, whom she adopts as a son. Intent on marrying Johanna, Turpin is recommended Todd's services by Bamford but they are interrupted by Anthony before Todd can kill him, revealing Anthony's plans with Johanna and causing Turpin to storm out and throw Johanna into a madhouse. Believing Johanna to be lost to him forever, Todd vows to kill as many people as he can out of revenge and seduces Mrs. Lovett into being his partner in crime. She gets the idea to bake Todd's victims into pies, and Todd rigs a trapdoor to drop his victims' bodies into her bakehouse, while Anthony continues to search for Johanna."
Nintendo (2004–2009: Nintendo DS and Wii),"In 2004, Nintendo released the Nintendo DS, which featured such innovations as dual screens – one of which being a touchscreen – and wireless connectivity for multiplayer play. Throughout its lifetime, more than 154 million units were sold, making it the most successful handheld console and the second bestselling console in history. In 2005, Nintendo released the Game Boy Micro, the last system in the Game Boy line. Sales did not meet Nintendo's expectations, with 2.5 million units being sold by 2007. In mid-2005, the Nintendo World Store was inaugurated in New York City. 
Nintendo's next home console was conceived in 2001, although development commenced in 2003, taking inspiration from the Nintendo DS. Nintendo also considered the relative failure of the GameCube, and instead opted to take a ""Blue Ocean Strategy"" by developing a reduced performance console in contrast to the high-performance consoles of Sony and Microsoft to avoid directly competing with them. The Wii was released in November 2006, with a total of 33 launch games. With the Wii, Nintendo sought to reach a broader demographic than its seventh-generation competitors, with the intention of also encompassing the ""non-consumer"" sector. To this end, Nintendo invested in a $200 million advertising campaign. The Wii's innovations include the Wii Remote controller, equipped with an accelerometer system and infrared sensors that allow it to detect its position in a three-dimensional environment with the aid of a sensor bar; the Nunchuk peripheral that includes an analog controller and an accelerometer; and the Wii MotionPlus expansion. Several accessories were released for the Wii from 2007 to 2010, such as the Wii Balance Board, the Wii Wheel and the WiiWare download service. In 2009, Nintendo Iberica S.A. expanded its commercial operations to Portugal through a new office in Lisbon. By that year, Nintendo held a 68.3% share of the worldwide handheld gaming market. In 2010, Nintendo celebrated the 25th anniversary of Mario's debut appearance, for which certain allusive products were put on sale."
Area 51 History,"The origin of the name ""Area 51"" is unclear. It is believed to be from an Atomic Energy Commission (AEC) numbering grid, although Area 51 is not part of this system; it is adjacent to Area 15. Another explanation is that 51 was used because it was unlikely that the AEC would use the number. According to the Central Intelligence Agency (CIA), the correct names for the facility are Homey Airport (XTA/KXTA) and Groom Lake, though the name ""Area 51"" was used in a CIA document from the Vietnam War. The facility has also been referred to as ""Dreamland"" and ""Paradise Ranch"", among other nicknames, with the former also being the approach control call sign for the surrounding area. The USAF public relations has referred to the facility as ""an operating location near Groom Dry Lake"". The special use airspace around the field is referred to as Restricted Area 4808 North (R-4808N). Lead and silver were discovered in the southern part of the Groom Range in 1864, and the English company Groome Lead Mines Limited financed the Conception Mines in the 1870s, giving the district its name (nearby mines included Maria, Willow, and White Lake). J. B. Osborne and partners acquired the controlling interest in Groom in 1876, and Osbourne's son acquired it in the 1890s. Mining continued until 1918, then resumed after World War II until the early 1950s. The airfield on the Groom Lake site began service in 1942 as Indian Springs Air Force Auxiliary Field and consisted of two unpaved 5,000-foot (1,524 m) runways. The Central Intelligence Agency (CIA) established the Groom Lake test facility in April 1955 for Project AQUATONE: the development of the Lockheed U-2 strategic reconnaissance aircraft. Project director Richard M. Bissell Jr. understood that the flight test and pilot training programs could not be conducted at Edwards Air Force Base or Lockheed's Palmdale facility, given the extreme secrecy surrounding the project. He conducted a search for a suitable testing site for the U-2 under the same extreme security as the rest of the project."
World War (German offensive in Belgium and France),"Upon mobilisation, 80% of the German Army was located on the Western Front, with the remainder acting as a screening force in the East; officially titled Aufmarsch II West, it is better known as the Schlieffen Plan after its creator, Alfred von Schlieffen, head of the German General Staff from 1891 to 1906. Rather than a direct attack across their shared frontier, the German right wing would sweep through the Netherlands and Belgium, then swing south, encircling Paris and trapping the French army against the Swiss border. Schlieffen estimated this would take six weeks, after which the German army would transfer to the East and defeat the Russians. The plan was substantially modified by his successor, Helmuth von Moltke the Younger. Under Schlieffen, 85% of German forces in the west were assigned to the right wing, with the remainder holding along the frontier. By keeping his left wing deliberately weak, he hoped to lure the French into an offensive into the ""lost provinces"" of Alsace-Lorraine, which was the strategy envisaged by their Plan XVII. However, Moltke grew concerned the French might push too hard on his left flank and as the German Army increased in size from 1908 to 1914, he changed the allocation of forces between the two wings from 85:15 to 70:30. He also considered Dutch neutrality essential for German trade and cancelled the incursion into the Netherlands, which meant any delays in Belgium threatened the viability of the plan. Historian Richard Holmes argues these changes meant the right wing was not strong enough to achieve decisive success and thus led to unrealistic goals and timings. The initial German advance in the West was very successful and by the end of August the Allied left, which included the British Expeditionary Force (BEF), was in full retreat. At the same time, the French offensive in Alsace-Lorraine was a disastrous failure, with casualties exceeding 260,000, including 27,000 killed on 22 August during the Battle of the Frontiers. German planning provided broad strategic instructions, while allowing army commanders considerable freedom in carrying them out at the front; this worked well in 1866 and 1870 but in 1914, von Kluck used this freedom to disobey orders, opening a gap between the German armies as they closed on Paris. In 1911, the Russian Stavka had agreed with the French to attack Germany within fifteen days of mobilisation, ten days before the Germans had anticipated, although it meant the two Russian armies that entered East Prussia on 17 August did so without many of their support elements. By the end of 1914, German troops held strong defensive positions inside France, controlled the bulk of France's domestic coalfields and had inflicted 230,000 more casualties than it lost itself. However, communications problems and questionable command decisions cost Germany the chance of a decisive outcome, while it had failed to achieve the primary objective of avoiding a long, two-front war. As was apparent to a number of German leaders, this amounted to a strategic defeat; shortly after the Marne, Crown Prince Wilhelm told an American reporter ""We have lost the war. It will go on for a long time but lost it is already.""
"
Area 51 (Environmental lawsuit),"In 1994, five unnamed civilian contractors and the widows of contractors Walter Kasza and Robert Frost sued the Air Force and the United States Environmental Protection Agency. They alleged that they had been present when large quantities of unknown chemicals had been burned in open pits and trenches at Groom. Rutgers University biochemists analyzed biopsies from the complainants and found high levels of dioxin, dibenzofuran, and trichloroethylene in their body fat. The complainants alleged that they had sustained skin, liver, and respiratory injuries due to their work at Groom and that this had contributed to the deaths of Frost and Kasza. The suit sought compensation for the injuries, claiming that the Air Force had illegally handled toxic materials and that the EPA had failed in its duty to enforce the Resource Conservation and Recovery Act which governs the handling of dangerous materials. They also sought detailed information about the chemicals, hoping that this would facilitate the medical treatment of survivors. Congressman Lee H. Hamilton, former chairman of the House Intelligence Committee, told 60 Minutes reporter Lesley Stahl, ""The Air Force is classifying all information about Area 51 in order to protect themselves from a lawsuit."" The government invoked the State Secrets Privilege and petitioned U.S. District Judge Philip Pro to disallow disclosure of classified documents or examination of secret witnesses, claiming that this would expose classified information and threaten national security. Judge Pro rejected the government's argument, so President Bill Clinton issued a Presidential Determination exempting what it called ""the Air Force's Operating Location Near Groom Lake, Nevada"" from environmental disclosure laws. Consequently, Pro dismissed the suit due to lack of evidence. Turley appealed to the U.S. Court of Appeals for the Ninth Circuit on the grounds that the government was abusing its power to classify material. Secretary of the Air Force Sheila E. Widnall filed a brief which stated that disclosures of the materials present in the air and water near Groom ""can reveal military operational capabilities or the nature and scope of classified operations."" The Ninth Circuit rejected Turley's appeal and the U.S. Supreme Court refused to hear it, putting an end to the complainants' case. The President annually issues a determination continuing the Groom exception which is the only formal recognition that the government has ever given that Groom Lake is more than simply another part of the Nellis complex. An unclassified memo on the safe handling of F-117 Nighthawk material was posted on an Air Force web site in 2005. This discussed the same materials for which the complainants had requested information, which the government had claimed was classified. The memo was removed shortly after journalists became aware of it."
The Beatles (Song catalogue),"In March 1969, James arranged to sell his and his partner's shares of Northern Songs to the British broadcasting company Associated Television (ATV), founded by impresario Lew Grade, without first informing the Beatles. The band then made a bid to gain a controlling interest by attempting to work out a deal with a consortium of London brokerage firms that had accumulated a 14% holding. The deal collapsed over the objections of Lennon, who declared, ""I'm sick of being fucked about by men in suits sitting on their fat arses in the City."" By the end of May, ATV had acquired a majority stake in Northern Songs, controlling nearly the entire Lennon–McCartney catalogue, as well as any future material until 1973. In frustration, Lennon and McCartney sold their shares to ATV in late October 1969. In 1981, financial losses by ATV's parent company, Associated Communications Corporation (ACC), led it to attempt to sell its music division. According to authors Brian Southall and Rupert Perry, Grade contacted McCartney, offering ATV Music and Northern Songs for $30 million. According to an account McCartney gave in 1995, he met with Grade and explained he was interested solely in the Northern Songs catalogue if Grade were ever willing to ""separate off"" that portion of ATV Music. Soon afterwards, Grade offered to sell him Northern Songs for £20 million, giving the ex-Beatle ""a week or so"" to decide. By McCartney's account, he and Ono countered with a £5 million bid that was rejected. According to reports at the time, Grade refused to separate Northern Songs and turned down an offer of £21–25 million from McCartney and Ono for Northern Songs. In 1982, ACC was acquired in a takeover by Australian business magnate Robert Holmes à Court for £60 million.
 
In 1985, Michael Jackson purchased ATV for a reported $47.5 million. The acquisition gave him control over the publishing rights to more than 200 Beatles songs, as well as 40,000 other copyrights."
Dracula,"Dracula is a novel by Bram Stoker, published in 1897. An epistolary novel, the narrative is related through letters, diary entries, and newspaper articles. It has no single protagonist and opens with solicitor Jonathan Harker taking a business trip to stay at the castle of a Transylvanian nobleman, Count Dracula. Harker escapes the castle after discovering that Dracula is a vampire, and the Count moves to England and plagues the seaside town of Whitby. A small group, led by Abraham Van Helsing, investigate, hunt and kill Dracula. Dracula was mostly written in the 1890s. Stoker produced over a hundred pages of notes for the novel, drawing extensively from Transylvanian folklore and history. Some scholars have suggested that the character of Dracula was inspired by historical figures like the Wallachian prince Vlad the Impaler or the countess Elizabeth Báthory, but there is widespread disagreement. Stoker's notes mention neither figure. He found the name Dracula in Whitby's public library while on holiday, thinking it meant devil in Romanian. Following its publication, Dracula was positively received by reviewers who pointed to its effective use of horror. In contrast, reviewers who wrote negatively of the novel regarded it as excessively frightening. Comparisons to other works of Gothic fiction were common, including its structural similarity to Wilkie Collins' The Woman in White (1859). In the past century, Dracula has been situated as a piece of Gothic fiction. Modern scholars explore the novel within its historical context—the Victorian era—and discuss its depiction of gender roles, sexuality, and race. Dracula is one of the most famous pieces of English literature. Many of the book's characters have entered popular culture as archetypal versions of their characters; for example, Count Dracula as the quintessential vampire, and Abraham Van Helsing as an iconic vampire hunter. The novel, which is in the public domain, has been adapted for film over 30 times, and its characters have made numerous appearances in virtually all media."
Internet (history),"In the 1960s, computer scientists began developing systems for time-sharing of computer resources. J. C. R. Licklider proposed the idea of a universal network while working at Bolt Beranek & Newman and, later, leading the Information Processing Techniques Office (IPTO) at the Advanced Research Projects Agency (ARPA) of the United States Department of Defense (DoD). Research into packet switching, one of the fundamental Internet technologies, started in the work of Paul Baran in the early 1960s and, independently, Donald Davies in 1965. After the Symposium on Operating Systems Principles in 1967, packet switching from the proposed NPL network was incorporated into the design of the ARPANET, an experimental resource sharing network proposed by ARPA. ARPANET development began with two network nodes which were interconnected between the University of California, Los Angeles (UCLA) and SRI International (SRI) on 29 October 1969. The third site was at the University of California, Santa Barbara, followed by the University of Utah. In a sign of future growth, 15 sites were connected to the young ARPANET by the end of 1971. These early years were documented in the 1972 film Computer Networks: The Heralds of Resource Sharing. Thereafter, the ARPANET gradually developed into a decentralized communications network, connecting remote centers and military bases in the United States. Other user networks and research networks, such as the Merit Network and CYCLADES, were developed in the late 1960s and early 1970s. Early international collaborations for the ARPANET were rare. Connections were made in 1973 to the Norwegian Seismic Array (NORSAR), and to Peter Kirstein's research group at University College London, which provided a gateway to British academic networks, forming the first internetwork for resource sharing. ARPA projects, international working groups and commercial initiatives led to the development of various protocols and standards by which multiple separate networks could become a single network or ""a network of networks"". In 1974, Vint Cerf at Stanford University and Bob Kahn at DARPA published a proposal for ""A Protocol for Packet Network Intercommunication""."
Super Mario (1996–2005: Introduction of 3D and open-ended exploration),"In the early 1990s, director and producer Shigeru Miyamoto had conceived a 3D Mario design during development of the Super Nintendo Entertainment System (SNES) game Star Fox (1993). He considered using the Super FX chip to develop a SNES game, Super Mario FX, with gameplay based on ""an entire world in miniature, like miniature trains"". He eventually reformulated the idea for the Nintendo 64, not for its substantially greater power, but because its controller has more buttons for gameplay. Super Mario 64 was developed over approximately three years, with one year spent on the design concept and approximately two years on production. Production began on September 7, 1994, and concluded on May 20, 1996. Super Mario 64 is the first 3D and open world game in the series, and a launch game for the Nintendo 64 home console. Each level is an enclosed environment where the player is free to explore in all directions without time limits. The player collects Power Stars from the paintings in Peach's castle to unlock later courses and areas. The Nintendo 64's analog stick makes an extensive repertoire of precise movements in all directions possible. The game introduced moves such as punching, triple jumping, and using a Wing Cap to fly. It is the first Super Mario series game to feature Charles Martinet's voice acting for Mario. Mario must once again save Princess Peach from Bowser. The game's power-ups differ from previous games, now being three different hats with temporary powers: the Wing Cap, allowing Mario to fly; the Metal Cap, turning him into metal; and the Vanish Cap, allowing him to walk through obstacles. Super Mario 64 is considered seminal to 3D video games. A remake of the game called Super Mario 64 DS was released for Nintendo DS in 2004 and 2005, adding Yoshi, Luigi, and Wario as playable characters, new abilities, new objectives, multiplayer, and minigames."
Twitch History (Founding and initial growth (2007–2013)),"When Justin.tv was launched in 2007 by Justin Kan and Emmett Shear, two recent Yale graduates, the site was divided into several content categories. The gaming category grew especially fast, and became the most popular content on the site. In June 2011,  the company decided to spin off the gaming content as TwitchTV, inspired by the term twitch gameplay. It launched officially in public beta on June 6, 2011. Since then, Twitch has attracted more than 35 million unique visitors a month. Twitch had about 80 employees in June 2013, which increased to 100 by December 2013. The company was headquartered in San Francisco's Financial District. Twitch has been supported by significant investments of venture capital, with US$15 million in 2012 (on top of US$7 million originally raised for Justin.tv), and US$20 million in 2013. Investors during three rounds of fund raising leading up to the end of 2013 included Draper Associates, Bessemer Venture Partners and Thrive Capital. In addition to the influx of venture funding, it was believed in 2013 that the company had become profitable. Especially since the shutdown of its direct competitor Own3d.tv in early 2013, Twitch has become the most popular e-sports streaming service by a large margin, leading some to conclude that the website has a ""near monopoly on the market"". Competing video services, such as YouTube and Dailymotion, began to increase the prominence of their gaming content to compete, but have had a much smaller impact so far. As of mid-2013, there were over 43 million viewers on Twitch monthly, with the average viewer watching an hour and a half a day. By February 2014, Twitch was the fourth largest source of Internet traffic during peak times in the United States, behind Netflix, Google, and Apple. Twitch made up 1.8% of total US Internet traffic during peak periods. In late 2013, particularly due to increasing viewership, Twitch had issues with lag and low frame rates in Europe. Twitch has subsequently added new servers in the region."
Stradivarius Construction,"Stradivari made his instruments using an inner form, unlike the French copyists, such as Vuillaume, who employed an outer form. It is clear from the number of forms throughout his career that he experimented with some of the dimensions of his instruments. The woods used included spruce for the top, willow for the internal blocks and linings, and maple for the back, ribs, and neck. Stradivari and Giuseppe Guarneri's violins differ in their tonal quality, comparable to the difference between red and white wine. The Stradivari's sound is described as more ""direct and precise"", responding to the slightest touch with refined direction and elegance. There has been conjecture that the wood used may have been treated with several types of minerals, both before and after construction of a violin. Scientists at National Taiwan University have detected trace amounts of aluminum, copper, and calcium in wood from Stradivari violins. The traces may have come from chemical preservatives applied by loggers to the wood they sold. As well, the violin makers applied varnishes to their instruments. Potassium borate (borax) may have been used to protect against woodworm. Sodium and potassium silicate may have been used to prevent mildew, rotting and insect damage. Simone Fernando Sacconi suggested that Vernice bianca, an egg tempera varnish composed of gum arabic, honey, and egg white, may have been used. French chemist Jean-Philippe Echard and his co-workers have studied varnishes on Stradivarius violins. He reported in 2010 that even when varnish is no longer visible to the human eye on the surface of older violins, it can be detected within the top layers of cells. A lower layer of varnish is found within the topmost wood cells while an upper rests upon the wood. Echard's findings suggest that Stradivari used a mixture of common Cremonese resin, oil, and pigment as a varnish, rather than making his own. Echard did not find traces of specialized ingredients such as protein materials, gums, or fossil amber."
W. Allen Early life and education,"Allen was born Allan Stewart Konigsberg in New York City on November 30, 1935. Though his family lived in Brooklyn, the birth took place at Mount Eden Hospital in the Bronx. He is Jewish. Allen's parents were Nettie (née Cherry; 1906–2002), a bookkeeper at her family's delicatessen, and Martin Konigsberg (1900–2001), a jewelry engraver and waiter. His grandparents were immigrants to the U.S. from Austria and the Lithuanian city of Panevėžys. They spoke German, Hebrew and Yiddish. He and his younger sister, film producer Letty, were raised in Brooklyn's Midwood neighborhood. Both their parents were born and raised on the Lower East Side of Manhattan. Allen's parents did not get along, and he had an estranged relationship with his authoritarian, ill-tempered mother. He spoke German in his early years. He later joked that he was often sent to interfaith summer camps when he was young. While attending Hebrew school for eight years, he went to Public School 99 (now the Isaac Asimov School for Science and Literature) and Midwood High School, graduating in 1953. Unlike his comic persona, he was more interested in baseball than school and his strong arm ensured he was picked first for teams. He impressed students with his talent for cards and magic tricks. Allen wrote jokes (or ""gags"") for agent David O. Alber to make money, and Alber sold them to newspaper columnists. At age 17, he legally changed his name to Heywood Allen and later began to call himself Woody. According to Allen, his first published joke read: ""Woody Allen says he ate at a restaurant that had O.P.S. prices—over people's salaries."" He was soon earning more than both of his parents combined. After high school, he attended New York University, studying communication and film in 1953, before dropping out after failing the course ""Motion Picture Production"". He studied film at City College of New York in 1954, but left during the first semester. He taught himself rather than studying in the classroom."
"François-René  (Biography; America, France, London)","In Voyage en Amérique, published in 1826, Chateaubriand writes that he arrived in Philadelphia on 10 July 1791. He visited New York, Boston and Lexington, before leaving by boat on the Hudson River to reach Albany. He then followed the Mohawk Trail up the Niagara Falls where he broke his arm and spent a month in recovery in the company of a Native American tribe. Chateaubriand then describes Native American tribes' customs, as well as zoological, political and economic consideration. He then says that a raid along the Ohio River, the Mississippi River, Louisiana and Florida took him back to Philadelphia, where he embarked on the Molly in November to go back to France. Chateaubriand returned to France in 1792 and subsequently joined the army of Royalist émigrés in Koblenz under the leadership of Louis Joseph de Bourbon, Prince of Condé. Under strong pressure from his family, he married a young aristocratic woman, also from Saint-Malo, whom he had never previously met, Céleste Buisson de la Vigne (in later life, Chateaubriand was notoriously unfaithful to her, having a series of love affairs). His military career came to an end when he was wounded at the Siege of Thionville, a major clash between Royalist troops (of which Chateaubriand was a member) and the French Revolutionary Army. Half-dead, he was taken to Jersey and exiled to England, leaving his wife behind. Chateaubriand spent most of his exile in extreme poverty in London, scraping a living offering French lessons and doing translation work, but a stay in (Bungay) Suffolk proved to be more idyllic. He stayed at The Music House, 34 Bridge Street, a fact recorded in a plaque on the property. Here Chateaubriand fell in love with a young English woman, Charlotte Ives, the daughter of his host, but the romance ended when he was forced to reveal he was already married. During his time in Britain, Chateaubriand also became familiar with English literature. This reading, particularly of John Milton's Paradise Lost (which he later translated into French prose), had a deep influence on his own literary work."
Gautier (Life and time),"Gautier's education commenced at the prestigious Collège Louis-le-Grand in Paris, which he attended for three months before being brought home due to illness. Although he completed the remainder of his education at Collège Charlemagne, Gautier's most significant instruction, including in Latin, came from his father. In the aftermath of the 1830 Revolution, Gautier's family experienced hardship and was forced to move to the outskirts of Paris. Deciding to experiment with his own independence and freedom, Gautier chose to stay with friends in the Doyenné district of Paris. Towards the end of 1830, Gautier began to frequent meetings of Le Petit Cénacle (The Little Upper Room), a group of artists who met in the studio of Jehan Du Seigneur. The group was a more irresponsible version of Hugo's Cénacle. Among its members were the artists Gérard de Nerval, Alexandre Dumas, père, Petrus Borel, Alphonse Brot, and Philothée O’Neddy. Le Petit Cénacle soon gained a reputation for extravagance and eccentricity. Gautier began writing poetry as early as 1826, but the majority of his life was spent as a contributor to various journals, mainly La Presse, which also gave him the opportunity for foreign travel and for meeting many influential contacts in high society and in the world of the arts. Throughout his life, Gautier was well-traveled, taking trips to Spain, Italy, Russia, Egypt and Algeria. Gautier's many travels inspired many of his writings including Voyage en Espagne (1843), Trésors d’Art de la Russie (1858), and Voyage en Russie (1867). Gautier's travel literature is considered by many as being some of the best from the nineteenth century; often written in a personal style, it provides a window into Gautier's own tastes in art and culture. Gautier was a celebrated abandonné (one who yields or abandons himself to something) of the Romantic Ballet, writing several scenarios, the most famous of which is Giselle, whose first interpreter, the ballerina Carlotta Grisi, was the great love of his life."
"Rambles in Germany and Italy, Travelling and writing (1840)","Mary Shelley and her husband Percy Bysshe Shelley had lived in Italy from 1818 to 1822. Although Percy Shelley and two of their four children died there, Italy became for Mary Shelley ""a country which memory painted as paradise"", as she put it. The couple's Italian years were a time of intense intellectual and creative activity. Percy composed a series of major poems, and Mary wrote the autobiographical novel Matilda, the historical novel Valperga, and the plays Proserpine and Midas. Mary Shelley had always wanted to return to Italy and she excitedly planned her 1840 trip. In June 1840, Mary Shelley, Percy Florence (her one surviving child), and a few of his friends—George Defell, Julian Robinson, and Robert Leslie Ellis—began their European tour. They travelled to Paris and then to Metz. From there, they went down the Moselle by boat to Coblenz and then up the Rhine to Mainz, Frankfurt, Heidelberg, Baden-Baden, Freiburg, Schaffhausen, Zürich, the Splügen, and Chiavenna. Feeling ill, Shelley rested at a spa in Baden-Baden; she had wracking pains in her head and ""convulsive shudders"", symptoms of the meningioma that would eventually kill her. This stop dismayed Percy Florence and his friends, as it provided no entertainment for them; moreover, since none of them spoke German, the group was forced to remain together. After crossing Switzerland by carriage and railway, the group spent two months at Lake Como, where Mary relaxed and reminisced about how she and Percy had almost rented a villa with Lord Byron at the lake one summer. The group then travelled on to Milan, and from there, Percy Florence and his friends soon left for Cambridge to take their university finals. Mary Shelley remained, waiting for funds to complete her journey. In September, she returned to England via Geneva and Paris. Upon her return, she became depressed and could not write: ""[in Italy] I might live – as once I lived—hoping—loving—aspiring enjoying ... I am placid now, & the days go by – I am happy in Percy [Florence's] society & health – but no adjuncts""."
Le Corricolo (The trip to Italy),"Le Corricolo, published in English as Sketches of Naples, is a work by Alexandre Dumas published in 1843, in which he recalls the trip he made from Rome to Naples in 1835, with the painter Louis Godefroy Jadin. The original idea of Dumas was a trip along the coast of the whole Mediterranean. This trip should have given him material for a travel book. In order to do that, in 1834 he launched several subscriptions, but he was unable to raise the entire sum needed for the trip. So, he had to reduce the scope of his trip to southern Italy, and it is likely that Dumas had tried to get in touch with revolutionary and Mazzinian elements in the Kingdom of the Two Sicilies, with a view to an anti-Bourbon uprising. On 12 May 1835 he left together with his friend Louis Godefroy Jadin, a painter, Jadin's dog, Milord, his mistress and later wife, Ida Ferrier, and her sister. Passing through Toulon, Nice, Genoa, Livorno, Pisa and Florence (where he arrived on 1 July) he reached Rome, where he asked Ferdinand II's ambassador for permission to visit the Kingdom of the Two Sicilies. Unfortunately, he had been denounced as a republican agitator and was banned from visiting the kingdom. Due to that, he traveled to the Kingdom of the Two Sicilies using the name of Joseph Guichard, a painter and resident of the French Academy at Villa Medici. He traveled clandestinely, always accompanied by his friends, and, after reaching Naples, where he left his lover, he embarked for Sicily on a small boat and was joined by the contralto Caroline Ungher, who became his lover during the trip. He returned to Naples at the end of October 1835 and found Ida, but he was forced to leave the city on 23 November, after only three weeks, after being denounced. Dumas had to wait ten years for the final draft of the romance, time which allowed him to search for literary sources to make the work richer."
